Percentage of Education level of residents-illeterate,Percentage of School dropout,Percentage of Education level of residents-university,Percentage of Education level of residents-secondary,Percentage of Education level of residents-intermediate,Percentage of Education level of residents-vocational,Percentage of Education level of residents-elementary,Percentage of Education level of residents-higher education,Town,dataset
5.00E+00,5.00E+00,2.40E+01,1.50E+01,2.00E+01,2.00E+01,1.50E+01,1.00E+00,Deir Aammar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
4.00E+00,2.00E+00,1.50E+01,2.00E+01,2.00E+01,2.00E+01,2.00E+01,1.00E+00,Qattineh-Miniyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
4.00E+00,1.00E+01,1.00E+01,2.00E+01,2.50E+01,2.00E+01,2.00E+01,1.00E+00,Naoura El-Faouqa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,5.00E+00,1.00E+01,1.00E+01,2.00E+01,2.00E+01,3.40E+01,1.00E+00,Hayzouq,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+01,9.00E+00,1.50E+01,1.00E+01,2.00E+01,4.00E+01,1.00E+00,Sfireh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,0.00E+00,8.00E+00,1.00E+01,4.00E+01,2.00E+01,2.00E+01,1.00E+00,Choualiq Jezzine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,7.00E+00,2.00E+01,1.00E+01,2.00E+01,1.90E+01,2.80E+01,1.00E+00,Eghbe,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,3.00E+00,1.00E+01,8.00E+00,3.00E+01,1.70E+01,3.20E+01,1.00E+00,Bzal,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,3.00E+00,2.90E+01,3.00E+01,1.50E+01,1.50E+01,5.00E+00,1.00E+00,Khirbet Char,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.00E+00,5.00E+00,2.50E+01,1.20E+01,2.20E+01,1.50E+01,2.20E+01,1.00E+00,Khirbet Rouha,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,2.40E+01,1.50E+01,2.00E+01,1.50E+01,2.00E+01,1.00E+00,Qaaqaaiyet Ej-Jisr,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,5.00E+00,1.30E+01,2.20E+01,2.50E+01,1.50E+01,2.20E+01,1.00E+00,Rihaniyet Aakkar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,1.00E+00,1.00E+01,1.50E+01,2.00E+01,1.50E+01,1.50E+01,1.00E+00,Fisan,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,1.00E+01,2.00E+01,2.40E+01,1.50E+01,2.50E+01,1.00E+00,Haret Fouar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,5.00E+00,5.00E+01,2.20E+01,1.50E+01,6.00E+00,1.00E+00,Majdel Selm,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,1.40E+01,3.00E+01,2.50E+01,1.40E+01,1.50E+01,1.00E+00,Kfarfila,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,6.00E+01,1.00E+01,1.50E+01,2.50E+01,1.30E+01,3.50E+01,1.00E+00,jouar Hasheesh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
7.00E+00,2.00E+00,6.00E+00,2.40E+01,2.30E+01,1.20E+01,2.70E+01,1.00E+00,Fekehe,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+00,3.90E+01,2.00E+01,1.00E+01,1.00E+01,1.50E+01,1.00E+00,Zilaya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
9.00E+00,5.00E+00,3.50E+01,2.00E+01,1.50E+01,1.00E+01,1.00E+01,1.00E+00,Byaqout,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.50E+01,0.00E+00,2.90E+01,1.50E+01,2.00E+01,1.00E+01,1.00E+01,1.00E+00,Mahrouna,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,0.00E+00,2.50E+01,2.40E+01,2.00E+01,1.00E+01,1.00E+01,1.00E+00,Magher wbala,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+01,2.00E+01,1.90E+01,1.00E+01,2.00E+01,1.00E+01,2.00E+01,1.00E+00,Jdita,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,5.00E+00,1.50E+01,1.40E+01,1.50E+01,1.00E+01,3.50E+01,1.00E+00,Aadchit El-Qoussair,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+01,4.00E+00,1.50E+01,2.00E+01,1.70E+01,1.00E+01,1.70E+01,1.00E+00,Rachaya El Wadi,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+00,1.50E+01,1.40E+01,3.00E+01,1.00E+01,2.50E+01,1.00E+00,Mejdlaiya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,5.00E+00,1.40E+01,2.00E+01,2.50E+01,1.00E+01,2.50E+01,1.00E+00,Ras Masqa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,5.00E+01,1.00E+01,2.00E+01,1.00E+01,1.00E+01,3.90E+01,1.00E+00,Debaal Menie,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,5.00E+00,1.00E+01,2.00E+01,3.00E+01,1.00E+01,2.80E+01,1.00E+00,Bkeftine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+00,1.00E+01,1.40E+01,4.00E+01,1.00E+01,2.00E+01,1.00E+00,Saadine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,2.00E+00,1.00E+01,1.00E+01,2.30E+01,1.00E+01,4.50E+01,1.00E+00,Arzoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,2.00E+00,1.00E+01,1.00E+01,3.00E+01,1.00E+01,3.90E+01,1.00E+00,Kfar Denis,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,9.00E+00,9.00E+00,5.00E+01,1.00E+01,2.00E+01,1.00E+00,Mounjez,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,2.00E+00,2.00E+00,1.50E+01,2.00E+01,1.00E+01,5.00E+01,1.00E+00,Aain Qinia,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+01,1.00E+01,2.00E+01,2.50E+01,9.00E+00,3.00E+01,1.00E+00,Jermanya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+01,8.00E+00,1.00E+01,2.00E+01,2.00E+01,9.00E+00,2.00E+01,1.00E+00,Debl,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,5.00E+00,5.00E+00,2.00E+01,3.50E+01,9.00E+00,2.00E+01,1.00E+00,Kfarsghab,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,5.00E-02,9.00E+00,2.00E+01,3.00E+01,8.00E+00,3.00E+01,1.00E+00,Maarakeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,2.00E+00,7.00E+00,1.20E+01,5.00E+01,8.00E+00,2.00E+01,1.00E+00,Dhayra,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,2.00E+00,2.00E+00,1.00E+01,1.00E+01,8.00E+00,6.80E+01,1.00E+00,Hmaireh Aakkar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.40E+01,1.00E+01,3.00E+00,1.50E+01,2.50E+01,7.00E+00,3.50E+01,1.00E+00,Nimrine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,1.00E+00,1.00E+00,2.00E+00,3.00E+01,6.00E+00,5.00E+01,1.00E+00,Aarab Tabbaya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,5.00E+01,2.00E+01,2.00E+01,5.00E+00,4.00E+00,1.00E+00,Rimhala,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.00E+00,0.00E+00,3.00E+01,2.10E+01,2.00E+01,5.00E+00,2.00E+01,1.00E+00,Bsaba Baabda,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,0.00E+00,2.30E+01,4.50E+01,2.00E+01,5.00E+00,5.00E+00,1.00E+00,Mazraat Es-Dahr,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,0.00E+00,2.10E+01,2.50E+01,1.70E+01,5.00E+00,3.00E+01,1.00E+00,Mayasseh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,0.00E+00,2.00E+01,2.40E+01,2.50E+01,5.00E+00,2.00E+01,1.00E+00,Mehmarch,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,1.30E+01,2.00E+01,2.00E+01,5.00E+00,4.00E+01,1.00E+00,Haouche Barada,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
9.00E+00,1.00E+00,1.00E+01,2.50E+01,2.00E+01,5.00E+00,3.00E+01,1.00E+00,Aarsal,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,1.00E+01,3.30E+01,3.50E+01,5.00E+00,1.50E+01,1.00E+00,Machta Hassan,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,9.00E+00,2.00E+01,2.00E+01,5.00E+00,4.00E+01,1.00E+00,Aarqa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,7.00E+00,7.00E+00,3.00E+01,4.00E+01,5.00E+00,1.50E+01,1.00E+00,Hasbaiya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
4.00E+00,2.00E+01,5.00E+00,1.50E+01,3.00E+01,5.00E+00,4.00E+01,1.00E+00,Minie,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.50E+01,2.00E+00,4.00E+00,1.00E+01,2.50E+01,5.00E+00,3.00E+01,1.00E+00,Merouaniyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,4.00E+00,1.50E+01,3.00E+01,5.00E+00,4.00E+01,1.00E+00,Boustane Heresh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,1.00E+00,4.00E+00,2.00E+01,4.00E+01,5.00E+00,3.00E+01,1.00E+00,Tleil,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,3.00E+00,2.00E+00,1.50E+01,3.50E+01,5.00E+00,4.00E+01,1.00E+00,Tall Znoub,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.50E+01,1.00E+00,2.00E+00,1.00E+01,1.50E+01,5.00E+00,4.20E+01,1.00E+00,Qaytouleh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,4.00E+01,1.50E+01,2.00E+01,4.00E+00,2.00E+01,1.00E+00,Bezbina,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,5.00E+00,1.50E+01,2.30E+01,2.20E+01,4.00E+00,2.50E+01,1.00E+00,Aaytit,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
6.00E+01,5.00E+01,5.00E+00,5.00E+00,5.00E+00,4.00E+00,2.00E+01,1.00E+00,Mazraat Bani Sakher,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,5.00E+00,5.00E+00,1.50E+01,3.20E+01,4.00E+00,3.80E+01,1.00E+00,Mqaiteaa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,5.00E+00,5.00E+00,3.50E+01,4.00E+00,4.50E+01,1.00E+00,Rachaf,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,1.00E+00,5.00E+00,4.00E+01,3.50E+01,4.00E+00,1.50E+01,1.00E+00,Mar Boutros Karm Et-Tine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.30E+01,4.00E+00,2.00E+00,3.00E+00,2.50E+01,4.00E+00,5.20E+01,1.00E+00,Majdel,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,2.00E+00,2.00E+01,2.50E+01,2.50E+01,3.00E+00,2.50E+01,1.00E+00,Jiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,1.00E+00,1.40E+01,2.00E+01,4.00E+01,3.00E+00,2.00E+01,1.00E+00,Aadoussiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,2.00E+00,5.00E+00,1.60E+01,2.50E+01,3.00E+00,5.00E+01,1.00E+00,Ablah,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,3.00E+00,1.00E+01,1.50E+01,3.00E+00,2.00E+01,1.00E+00,Kfar Chouba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+01,5.00E+01,2.00E+00,4.00E+00,1.00E+01,3.00E+00,3.00E+01,1.00E+00,Chehabiyeh Faour,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,1.00E+01,2.00E+00,1.90E+01,2.50E+01,3.00E+00,4.00E+01,1.00E+00,Deir Nbouh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,1.00E+00,3.00E+01,5.00E+01,1.00E+01,2.00E+00,5.00E+00,1.00E+00,Zouq El-Hbalsa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,0.00E+00,2.40E+01,3.00E+01,3.50E+01,2.00E+00,7.00E+00,1.00E+00,Qlaiaa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
7.00E+00,1.00E+01,1.70E+01,1.80E+01,2.50E+01,2.00E+00,3.00E+01,1.00E+00,Baisour,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,1.00E+01,2.00E+01,3.60E+01,2.00E+00,3.00E+01,1.00E+00,Sfaynet El-Qaitaa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.50E+01,3.00E+01,5.00E+00,1.70E+01,1.00E+01,2.00E+00,3.00E+01,1.00E+00,Deir Dalloum,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,5.00E+00,5.00E+00,1.00E+01,2.70E+01,2.00E+00,1.00E+01,1.00E+00,Michmich Jbeil,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,2.00E+00,5.00E+00,1.50E+01,3.50E+01,2.00E+00,4.00E+01,1.00E+00,Rachaiya El-Foukhar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
4.00E+01,1.00E+00,2.00E+00,5.00E+00,2.50E+01,2.00E+00,2.50E+01,1.00E+00,Deir Ntar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,0.00E+00,1.00E+00,2.00E+01,7.00E+01,2.00E+00,4.00E+00,1.00E+00,Berbara Aakkar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,0.00E+00,1.50E+01,5.00E+01,3.00E+01,1.00E+00,2.00E+00,1.00E+00,Aain Tinta,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.50E+01,2.00E+01,8.00E+00,1.00E+01,2.00E+01,1.00E+00,4.50E+01,1.00E+00,Qraiyat,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+01,1.00E+00,3.00E+00,5.00E+00,1.00E+01,1.00E+00,3.00E+01,1.00E+00,Qild Es Sabea,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,1.00E+01,9.50E+00,2.00E+01,2.00E+01,2.00E+01,2.00E+01,5.00E-01,Choueifat El-Aamrousiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,1.00E+01,4.50E+00,2.00E+01,4.00E+01,1.50E+01,1.00E+01,5.00E-01,Hadath-Sbeineh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
9.90E+00,1.00E+00,3.50E+01,2.00E+01,1.50E+01,1.00E+01,1.00E+01,1.00E-01,Ouadi El-Laymoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,0.00E+00,4.00E+00,4.90E+00,4.00E+01,1.00E+00,4.00E+01,1.00E-01,Kfar Qouq,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+02,0.00E+00,5.00E+02,2.00E+03,6.00E+03,5.00E+02,4.00E+03,0.00E+00,Miriata,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.00E+00,2.00E+01,2.00E+00,1.50E+01,1.50E+01,2.50E+01,4.00E+01,0.00E+00,Qoubber Chamra,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,3.00E+00,0.00E+00,2.50E+01,0.00E+00,2.50E+01,0.00E+00,0.00E+00,Majdel El-Aqoura,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+01,5.00E+01,1.50E+01,5.00E+00,2.00E+01,5.00E+00,0.00E+00,Deir Chamra,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+01,5.00E+00,2.00E+01,1.00E+01,1.00E+01,2.00E+01,2.00E+01,0.00E+00,Aain Ed-Delbe,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,2.00E+01,2.00E+01,2.00E+01,2.00E+01,2.00E+01,0.00E+00,Roum,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+00,1.00E+01,1.50E+01,2.50E+01,2.00E+01,2.50E+01,0.00E+00,Qaser,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+01,0.00E+00,1.00E+01,2.00E+01,1.00E+01,2.00E+01,2.00E+01,0.00E+00,Qaouzah,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,1.00E+01,2.00E+01,2.00E+01,2.00E+01,3.00E+01,0.00E+00,Sindianet Zeidane,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,3.00E+01,5.00E+00,4.00E+01,2.50E+01,2.00E+01,1.00E+01,0.00E+00,El Ain,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+00,5.00E+00,2.00E+01,2.00E+01,2.00E+01,3.00E+01,0.00E+00,Beit El-Haouch,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,0.00E+00,1.00E+01,2.00E+01,3.00E+01,1.80E+01,2.00E+01,0.00E+00,Qantara,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,2.00E+00,2.50E+01,1.50E+01,1.50E+01,1.50E+01,2.50E+01,0.00E+00,Bqerzla,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.40E+01,1.30E+01,1.00E+01,1.80E+01,2.00E+01,1.50E+01,2.30E+01,0.00E+00,Btermaz,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,1.00E+01,2.00E+01,2.00E+01,1.50E+01,3.00E+01,0.00E+00,Markaba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,1.00E+00,5.00E+00,2.00E+01,4.00E+01,1.50E+01,1.00E+01,0.00E+00,Mouanse,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.00E+01,1.00E+01,1.00E+01,8.00E+00,2.00E+01,1.20E+01,2.00E+01,0.00E+00,Ghazayleh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+00,4.00E+01,1.00E+01,2.00E+01,1.00E+01,1.50E+01,0.00E+00,Khirbet Jord,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
4.80E+01,4.00E+01,2.00E+01,5.00E+00,5.00E+00,1.00E+01,1.20E+01,0.00E+00,Ein el Dahab,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.50E+01,2.00E+01,2.00E+01,1.00E+01,1.00E+01,1.00E+01,3.50E+01,0.00E+00,Fnaydek,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+01,2.00E+01,2.50E+01,2.50E+01,1.00E+01,1.50E+01,0.00E+00,Halloussiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
4.00E+01,3.00E+01,1.00E+01,1.00E+01,1.50E+01,1.00E+01,1.50E+01,0.00E+00,Bechtoudar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+01,1.00E+01,1.00E+01,1.00E+01,2.00E+01,1.00E+01,3.00E+01,0.00E+00,Qloud El-Baqieh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,1.00E+01,1.00E+01,1.50E+01,2.50E+01,1.00E+01,3.50E+01,0.00E+00,Ouadi El-Haour,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,1.00E+01,1.00E+01,2.00E+01,3.00E+01,1.00E+01,3.00E+01,0.00E+00,Khodr Baalbek,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
4.00E+00,3.00E+00,1.00E+01,1.50E+01,2.00E+01,1.00E+01,4.10E+01,0.00E+00,Fraides,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
5.00E+00,0.00E+00,1.00E+01,1.50E+01,3.00E+01,1.00E+01,3.00E+01,0.00E+00,Qraiyet Jlayse,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,1.00E+01,1.00E+01,4.00E+01,1.00E+01,3.00E+01,0.00E+00,Rabb Et-Tlatine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+00,0.00E+00,9.00E+00,3.50E+01,3.00E+01,1.00E+01,1.50E+01,0.00E+00,Bchannine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.00E+00,1.00E+01,7.00E+00,1.00E+01,2.00E+01,1.00E+01,5.00E+01,0.00E+00,Khreibet Ej-Jindi,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.60E+01,1.50E+01,6.00E+00,8.00E+00,3.50E+01,1.00E+01,2.50E+01,0.00E+00,Halbata,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,1.00E+01,5.00E+00,2.00E+01,2.50E+01,1.00E+01,3.00E+01,0.00E+00,Hayssa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,5.00E+00,5.00E+00,2.00E+01,3.50E+01,1.00E+01,2.00E+01,0.00E+00,Cheikh Zennad,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
1.00E+01,2.00E+00,5.00E+00,1.00E+01,1.50E+01,1.00E+01,5.00E+01,0.00E+00,Khirbet Daoud Aakkar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
6.00E+00,1.00E+00,5.00E+00,1.20E+01,2.20E+01,1.00E+01,4.50E+01,0.00E+00,Aamayer,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
0.00E+00,0.00E+00,5.00E+00,2.00E+01,2.00E+01,1.00E+01,4.50E+01,0.00E+00,Bizhel,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
2.00E+00,5.00E+00,3.00E+00,5.00E+00,3.00E+01,1.00E+01,5.00E+01,0.00E+00,Beit Haouik,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
3.50E+01,3.00E+01,2.00E+00,5.00E+00,1.00E+01,1.00E+01,3.80E+01,0.00E+00,Qarhaiya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
